"sreg","ac_full_type","msn","body_type","type_of_big_part","ori_position","created_on","start_period","end_period","flight_cycle","flight_hour"
PK-GIA,Boeing 777-300ER,"40074",WB,LG,,2019-12-17 09:48:06,2019-11-01 00:00:00,2019-11-30 00:00:00,28,"147:50:00"
PK-GIC,Boeing 777-300ER,"40075",WB,AIRFRAME,,2019-12-17 09:51:04,2019-11-01 00:00:00,2019-11-30 00:00:00,22,"172:43:00"
PK-GIC,Boeing 777-300ER,"40075",WB,APU,,2019-12-17 09:51:04,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GIC,Boeing 777-300ER,"40075",WB,ENGINE,Pos 1,2019-12-17 09:51:04,2019-11-01 00:00:00,2019-11-30 00:00:00,28,"160:22:00"
PK-GIC,Boeing 777-300ER,"40075",WB,ENGINE,Pos 2,2019-12-17 09:51:04,2019-11-01 00:00:00,2019-11-30 00:00:00,28,"160:22:00"
PK-GIC,Boeing 777-300ER,"40075",WB,LG,,2019-12-17 09:51:04,2019-11-01 00:00:00,2019-11-30 00:00:00,22,"172:43:00"
PK-GAD,ATR72-600,"1140",NB,AIRFRAME,,2019-12-23 15:40:20,2019-11-01 00:00:00,2019-11-30 00:00:00,48,"029:16:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 1,2019-12-23 15:40:20,2019-11-01 00:00:00,2019-11-30 00:00:00,48,"029:16:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 2,2019-12-23 15:40:20,2019-11-01 00:00:00,2019-11-30 00:00:00,58,"090:17:00"
PK-GAD,ATR72-600,"1140",NB,LG,,2019-12-23 15:40:20,2019-11-01 00:00:00,2019-11-30 00:00:00,48,"029:16:00"
PK-GAD,ATR72-600,"1140",NB,PROPELLER,,2019-12-23 15:40:20,2019-11-01 00:00:00,2019-11-30 00:00:00,48,"029:16:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,AIRFRAME,,2020-01-09 06:56:58,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"101:07:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,APU,,2020-01-09 06:56:58,2019-12-01 00:00:00,2019-12-31 00:00:00,62,"050:00:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 1,2020-01-09 06:56:58,2019-12-01 00:00:00,2019-12-31 00:00:00,58,"062:37:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 2,2020-01-09 06:56:58,2019-12-01 00:00:00,2019-12-31 00:00:00,34,"055:56:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,LG,,2020-01-09 06:56:58,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"101:07:00"
PK-GFH,B737-800NG,"36850",NB,ENGINE,Pos 1,2020-02-26 16:19:35,2020-01-01 00:00:00,2020-01-31 00:00:00,90,"166:35:00"
PK-GAI,ATR72-600,"1191",NB,AIRFRAME,,2019-12-23 16:09:18,2019-11-01 00:00:00,2019-11-30 00:00:00,1,"000:59:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 1,2019-12-23 16:09:18,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 2,2019-12-23 16:09:18,2019-11-01 00:00:00,2019-11-30 00:00:00,224,"151:28:00"
PK-GAI,ATR72-600,"1191",NB,LG,,2019-12-23 16:09:18,2019-11-01 00:00:00,2019-11-30 00:00:00,1,"000:59:00"
PK-GFH,B737-800NG,"36850",NB,ENGINE,Pos 2,2020-02-26 16:19:35,2020-01-01 00:00:00,2020-01-31 00:00:00,127,"192:21:00"
PK-GAD,ATR72-600,"1140",NB,AIRFRAME,,2020-02-27 13:25:14,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"023:12:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 1,2020-02-27 13:25:14,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"023:12:00"
PK-GAD,ATR72-600,"1140",NB,ENGINE,Pos 2,2020-02-27 13:25:14,2020-01-01 00:00:00,2020-01-31 00:00:00,52,"085:10:00"
PK-GAD,ATR72-600,"1140",NB,LG,,2020-02-27 13:25:14,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"023:12:00"
PK-GAI,ATR72-600,"1191",NB,PROPELLER,,2019-12-23 16:09:18,2019-11-01 00:00:00,2019-11-30 00:00:00,1,"000:59:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,AIRFRAME,,2020-01-09 07:30:35,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"109:26:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,APU,,2020-01-09 07:30:35,2019-12-01 00:00:00,2019-12-31 00:00:00,156,"150:00:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 1,2020-01-09 07:30:35,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"109:26:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,ENGINE,Pos 2,2020-01-09 07:30:35,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"109:26:00"
PK-GRR,Bombardier-CRJ-1000,"19042",NB,LG,,2020-01-09 07:30:35,2019-12-01 00:00:00,2019-12-31 00:00:00,72,"109:26:00"
PK-GMS,B737-800NG,"38071",NB,AIRFRAME,,2020-02-03 15:49:10,2019-12-01 00:00:00,2019-12-31 00:00:00,138,"271:17:00"
PK-GAK,ATR72-600,"1249",NB,AIRFRAME,,2019-12-24 14:15:11,2019-11-01 00:00:00,2019-11-30 00:00:00,36,"022:33:00"
PK-GAK,ATR72-600,"1249",NB,ENGINE,Pos 1,2019-12-24 14:15:11,2019-11-01 00:00:00,2019-11-30 00:00:00,36,"022:33:00"
PK-GAK,ATR72-600,"1249",NB,ENGINE,Pos 2,2019-12-24 14:15:11,2019-11-01 00:00:00,2019-11-30 00:00:00,36,"022:33:00"
PK-GAK,ATR72-600,"1249",NB,LG,,2019-12-24 14:15:11,2019-11-01 00:00:00,2019-11-30 00:00:00,36,"022:33:00"
PK-GAK,ATR72-600,"1249",NB,PROPELLER,,2019-12-24 14:15:11,2019-11-01 00:00:00,2019-11-30 00:00:00,36,"022:33:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,AIRFRAME,,2020-01-09 07:47:26,2019-12-01 00:00:00,2019-12-31 00:00:00,70,"070:49:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,APU,,2020-01-09 07:47:26,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,ENGINE,Pos 1,2020-01-09 07:47:26,2019-12-01 00:00:00,2019-12-31 00:00:00,70,"070:49:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,ENGINE,Pos 2,2020-01-09 07:47:26,2019-12-01 00:00:00,2019-12-31 00:00:00,70,"070:49:00"
PK-GRT,Bombardier-CRJ-1000,"19044",NB,LG,,2020-01-09 07:47:26,2019-12-01 00:00:00,2019-12-31 00:00:00,70,"070:49:00"
PK-GPV,Airbus 330-300,"1577",WB,AIRFRAME,,2019-12-06 09:19:15,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,APU,,2019-12-06 09:19:15,2019-10-01 00:00:00,2019-10-31 00:00:00,0,"000:00:00"
PK-GPV,Airbus 330-300,"1577",WB,LG,,2019-12-06 09:19:15,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 1,2019-12-06 09:19:15,2019-10-01 00:00:00,2019-10-31 00:00:00,53,"232:52:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 2,2019-12-06 09:19:15,2019-10-01 00:00:00,2019-10-31 00:00:00,18,"064:19:00"
PK-GPV,Airbus 330-300,"1577",WB,AIRFRAME,,2019-12-06 09:22:46,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,APU,,2019-12-06 09:22:46,2019-11-01 00:00:00,2019-11-30 00:00:00,78,"116:00:00"
PK-GPV,Airbus 330-300,"1577",WB,LG,,2019-12-06 09:22:46,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 1,2019-12-06 09:22:46,2019-11-01 00:00:00,2019-11-30 00:00:00,57,"209:12:00"
PK-GPV,Airbus 330-300,"1577",WB,ENGINE,Pos 2,2019-12-06 09:22:46,2019-11-01 00:00:00,2019-11-30 00:00:00,50,"116:25:00"
PK-GAQ,ATR72-600,"1398",NB,AIRFRAME,,2020-01-09 08:14:59,2019-11-01 00:00:00,2019-11-30 00:00:00,37,"017:55:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 1,2020-01-09 08:14:59,2019-11-01 00:00:00,2019-11-30 00:00:00,37,"017:55:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 2,2020-01-09 08:14:59,2019-11-01 00:00:00,2019-11-30 00:00:00,37,"017:55:00"
PK-GAQ,ATR72-600,"1398",NB,LG,,2020-01-09 08:14:59,2019-11-01 00:00:00,2019-11-30 00:00:00,37,"017:55:00"
PK-GAQ,ATR72-600,"1398",NB,PROPELLER,,2020-01-09 08:14:59,2019-11-01 00:00:00,2019-11-30 00:00:00,37,"017:55:00"
PK-GAN,ATR72-600,"1321",NB,AIRFRAME,,2019-12-24 14:35:01,2019-11-01 00:00:00,2019-11-30 00:00:00,81,"048:40:00"
PK-GAN,ATR72-600,"1321",NB,ENGINE,Pos 1,2019-12-24 14:35:01,2019-11-01 00:00:00,2019-11-30 00:00:00,81,"048:40:00"
PK-GAN,ATR72-600,"1321",NB,ENGINE,Pos 2,2019-12-24 14:35:01,2019-11-01 00:00:00,2019-11-30 00:00:00,81,"048:40:00"
PK-GAN,ATR72-600,"1321",NB,LG,,2019-12-24 14:35:01,2019-11-01 00:00:00,2019-11-30 00:00:00,81,"048:40:00"
PK-GAN,ATR72-600,"1321",NB,PROPELLER,,2019-12-24 14:35:01,2019-11-01 00:00:00,2019-11-30 00:00:00,81,"048:40:00"
PK-GAQ,ATR72-600,"1398",NB,AIRFRAME,,2020-01-09 08:20:59,2019-12-01 00:00:00,2019-12-31 00:00:00,19,"010:47:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 1,2020-01-09 08:20:59,2019-12-01 00:00:00,2019-12-31 00:00:00,19,"010:47:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 2,2020-01-09 08:20:59,2019-12-01 00:00:00,2019-12-31 00:00:00,19,"010:47:00"
PK-GAQ,ATR72-600,"1398",NB,LG,,2020-01-09 08:20:59,2019-12-01 00:00:00,2019-12-31 00:00:00,19,"010:47:00"
PK-GAQ,ATR72-600,"1398",NB,PROPELLER,,2020-01-09 08:20:59,2019-12-01 00:00:00,2019-12-31 00:00:00,19,"010:47:00"
PK-GFR,B737-800NG,"39417",NB,AIRFRAME,,2019-12-06 09:33:50,2019-11-01 00:00:00,2019-11-30 00:00:00,98,"132:15:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 1,2019-12-06 09:33:50,2019-11-01 00:00:00,2019-11-30 00:00:00,134,"252:51:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 2,2019-12-06 09:33:50,2019-11-01 00:00:00,2019-11-30 00:00:00,149,"276:21:00"
PK-GFR,B737-800NG,"39417",NB,APU,,2019-12-06 09:33:50,2019-11-01 00:00:00,2019-11-30 00:00:00,32,"036:00:00"
PK-GFR,B737-800NG,"39417",NB,LG,,2019-12-06 09:33:50,2019-11-01 00:00:00,2019-11-30 00:00:00,98,"132:15:00"
PK-GAO,ATR72-600,"1329",NB,AIRFRAME,,2019-12-24 14:40:01,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"030:28:00"
PK-GAO,ATR72-600,"1329",NB,ENGINE,Pos 1,2019-12-24 14:40:01,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"030:28:00"
PK-GAO,ATR72-600,"1329",NB,ENGINE,Pos 2,2019-12-24 14:40:01,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"030:28:00"
PK-GAO,ATR72-600,"1329",NB,LG,,2019-12-24 14:40:01,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"030:28:00"
PK-GAO,ATR72-600,"1329",NB,PROPELLER,,2019-12-24 14:40:01,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"030:28:00"
PK-GFV,B737-800NG,"38885",NB,AIRFRAME,,2019-12-06 09:39:06,2019-11-01 00:00:00,2019-11-30 00:00:00,159,"203:12:00"
PK-GFV,B737-800NG,"38885",NB,APU,,2019-12-06 09:39:06,2019-11-01 00:00:00,2019-11-30 00:00:00,312,"462:00:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 1,2019-12-06 09:39:06,2019-11-01 00:00:00,2019-11-30 00:00:00,140,"152:46:00"
PK-GFV,B737-800NG,"38885",NB,ENGINE,Pos 2,2019-12-06 09:39:06,2019-11-01 00:00:00,2019-11-30 00:00:00,46,"082:53:00"
PK-GFV,B737-800NG,"38885",NB,LG,,2019-12-06 09:39:06,2019-11-01 00:00:00,2019-11-30 00:00:00,159,"203:12:00"
PK-GAM,ATR72-600,"1242",NB,AIRFRAME,,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GAM,ATR72-600,"1242",NB,ENGINE,Pos 1,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GAM,ATR72-600,"1242",NB,ENGINE,Pos 2,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GAM,ATR72-600,"1242",NB,LG,,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,0,"000:00:00"
PK-GAM,ATR72-600,"1242",NB,PROPELLER,,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,AIRFRAME,,2019-12-24 14:54:00,2019-11-01 00:00:00,2019-11-30 00:00:00,58,"078:52:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,APU,,2019-12-24 14:54:00,2019-11-01 00:00:00,2019-11-30 00:00:00,163,"163:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 1,2019-12-24 14:54:00,2019-11-01 00:00:00,2019-11-30 00:00:00,58,"078:52:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 2,2019-12-24 14:54:00,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,LG,,2019-12-24 14:54:00,2019-11-01 00:00:00,2019-11-30 00:00:00,58,"078:52:00"
PK-GAM,ATR72-600,"1242",NB,LH-LG,,2020-01-09 09:13:30,2019-12-01 00:00:00,2019-12-31 00:00:00,66,"030:11:00"
PK-GFR,B737-800NG,"39417",NB,AIRFRAME,,2020-01-10 07:12:12,2019-12-01 00:00:00,2019-12-31 00:00:00,131,"196:49:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 1,2020-01-10 07:12:12,2019-12-01 00:00:00,2019-12-31 00:00:00,152,"245:05:00"
PK-GFR,B737-800NG,"39417",NB,ENGINE,Pos 2,2020-01-10 07:12:12,2019-12-01 00:00:00,2019-12-31 00:00:00,130,"246:46:00"
PK-GFR,B737-800NG,"39417",NB,APU,,2020-01-10 07:12:12,2019-12-01 00:00:00,2019-12-31 00:00:00,193,"242:00:00"
PK-GFR,B737-800NG,"39417",NB,LG,,2020-01-10 07:12:12,2019-12-01 00:00:00,2019-12-31 00:00:00,131,"196:49:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,AIRFRAME,,2019-12-24 15:11:00,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"066:25:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,APU,,2019-12-24 15:11:00,2019-11-01 00:00:00,2019-11-30 00:00:00,105,"106:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 1,2019-12-24 15:11:00,2019-11-01 00:00:00,2019-11-30 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 2,2019-12-24 15:11:00,2019-11-01 00:00:00,2019-11-30 00:00:00,70,"101:24:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,LG,,2019-12-24 15:11:00,2019-11-01 00:00:00,2019-11-30 00:00:00,47,"066:25:00"
PK-GFP,B737-800NG,"38821",NB,AIRFRAME,,2019-11-27 10:15:52,2019-10-01 00:00:00,2019-10-31 00:00:00,153,"259:07:00"
PK-GFP,B737-800NG,"38821",NB,APU,,2019-11-27 10:15:52,2019-10-01 00:00:00,2019-10-31 00:00:00,325,"495:00:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 1,2019-11-27 10:15:52,2019-10-01 00:00:00,2019-10-31 00:00:00,67,"121:53:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 2,2019-11-27 10:15:52,2019-10-01 00:00:00,2019-10-31 00:00:00,140,"176:27:00"
PK-GFP,B737-800NG,"38821",NB,LG,,2019-11-27 10:15:52,2019-10-01 00:00:00,2019-10-31 00:00:00,153,"259:07:00"
PK-GMS,B737-800NG,"38071",NB,APU,,2020-02-03 15:49:10,2019-12-01 00:00:00,2019-12-31 00:00:00,11,"018:00:00"
PK-GMS,B737-800NG,"38071",NB,LG,,2020-02-03 15:49:10,2019-12-01 00:00:00,2019-12-31 00:00:00,138,"271:17:00"
PK-GMS,B737-800NG,"38071",NB,ENGINE,Pos 1,2020-02-03 15:49:10,2019-12-01 00:00:00,2019-12-31 00:00:00,166,"200:44:00"
PK-GMS,B737-800NG,"38071",NB,ENGINE,Pos 2,2020-02-03 15:49:10,2019-12-01 00:00:00,2019-12-31 00:00:00,175,"203:32:00"
PK-GFP,B737-800NG,"38821",NB,AIRFRAME,,2020-02-11 09:54:57,2020-01-01 00:00:00,2020-01-31 00:00:00,126,"240:00:00"
PK-GFP,B737-800NG,"38821",NB,APU,,2020-02-11 09:54:57,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 1,2020-02-11 09:54:57,2020-01-01 00:00:00,2020-01-31 00:00:00,128,"245:04:00"
PK-GFP,B737-800NG,"38821",NB,ENGINE,Pos 2,2020-02-11 09:54:57,2020-01-01 00:00:00,2020-01-31 00:00:00,162,"177:33:00"
PK-GFP,B737-800NG,"38821",NB,LG,,2020-02-11 09:54:57,2020-01-01 00:00:00,2020-01-31 00:00:00,126,"240:00:00"
PK-GNG,B737-800NG,"39891",NB,AIRFRAME,,2020-02-26 17:03:40,2020-01-01 00:00:00,2020-01-31 00:00:00,143,"246:36:00"
PK-GNG,B737-800NG,"39891",NB,APU,,2020-02-26 17:03:40,2020-01-01 00:00:00,2020-01-31 00:00:00,207,"299:00:00"
PK-GNG,B737-800NG,"39891",NB,LG,,2020-02-26 17:03:40,2020-01-01 00:00:00,2020-01-31 00:00:00,143,"246:36:00"
PK-GNG,B737-800NG,"39891",NB,ENGINE,Pos 1,2020-02-26 17:03:40,2020-01-01 00:00:00,2020-01-31 00:00:00,130,"160:27:00"
PK-GNG,B737-800NG,"39891",NB,ENGINE,Pos 2,2020-02-26 17:03:40,2020-01-01 00:00:00,2020-01-31 00:00:00,130,"222:12:00"
PK-GAD,ATR72-600,"1140",NB,PROPELLER,,2020-02-27 13:25:14,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"023:12:00"
PK-GAF,ATR72-600,"1152",NB,AIRFRAME,,2020-02-27 14:41:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,ENGINE,Pos 1,2020-02-27 14:41:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,ENGINE,Pos 2,2020-02-27 14:41:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,LG,,2020-02-27 14:41:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAF,ATR72-600,"1152",NB,PROPELLER,,2020-02-27 14:41:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAI,ATR72-600,"1191",NB,AIRFRAME,,2020-02-27 21:51:44,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"020:50:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 1,2020-02-27 21:51:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAI,ATR72-600,"1191",NB,ENGINE,Pos 2,2020-02-27 21:51:44,2020-01-01 00:00:00,2020-01-31 00:00:00,42,"030:39:00"
PK-GAI,ATR72-600,"1191",NB,LG,,2020-02-27 21:51:44,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"020:50:00"
PK-GAI,ATR72-600,"1191",NB,PROPELLER,,2020-02-27 21:51:44,2020-01-01 00:00:00,2020-01-31 00:00:00,38,"020:50:00"
PK-GAK,ATR72-600,"1249",NB,AIRFRAME,,2020-02-27 22:54:51,2020-01-01 00:00:00,2020-01-31 00:00:00,24,"015:13:00"
PK-GAK,ATR72-600,"1249",NB,ENGINE,Pos 1,2020-02-27 22:54:51,2020-01-01 00:00:00,2020-01-31 00:00:00,24,"015:13:00"
PK-GAK,ATR72-600,"1249",NB,ENGINE,Pos 2,2020-02-27 22:54:51,2020-01-01 00:00:00,2020-01-31 00:00:00,24,"015:13:00"
PK-GAK,ATR72-600,"1249",NB,LG,,2020-02-27 22:54:51,2020-01-01 00:00:00,2020-01-31 00:00:00,24,"015:13:00"
PK-GAK,ATR72-600,"1249",NB,PROPELLER,,2020-02-27 22:54:51,2020-01-01 00:00:00,2020-01-31 00:00:00,24,"015:13:00"
PK-GAM,ATR72-600,"1242",NB,AIRFRAME,,2020-02-28 08:34:59,2020-01-01 00:00:00,2020-01-31 00:00:00,14,"007:40:00"
PK-GAM,ATR72-600,"1242",NB,ENGINE,Pos 1,2020-02-28 08:34:59,2020-01-01 00:00:00,2020-01-31 00:00:00,14,"007:40:00"
PK-GAM,ATR72-600,"1242",NB,ENGINE,Pos 2,2020-02-28 08:34:59,2020-01-01 00:00:00,2020-01-31 00:00:00,14,"007:40:00"
PK-GAO,ATR72-600,"1329",NB,PROPELLER,,2020-02-28 16:10:41,2020-01-01 00:00:00,2020-01-31 00:00:00,8,"021:29:00"
PK-GAQ,ATR72-600,"1398",NB,AIRFRAME,,2020-02-28 16:40:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 1,2020-02-28 16:40:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAQ,ATR72-600,"1398",NB,ENGINE,Pos 2,2020-02-28 16:40:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAQ,ATR72-600,"1398",NB,LG,,2020-02-28 16:40:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GAQ,ATR72-600,"1398",NB,PROPELLER,,2020-02-28 16:40:44,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,AIRFRAME,,2020-02-28 21:43:38,2020-01-01 00:00:00,2020-01-31 00:00:00,174,"167:23:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,APU,,2020-02-28 21:43:38,2020-01-01 00:00:00,2020-01-31 00:00:00,92,"088:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 1,2020-02-28 21:43:38,2020-01-01 00:00:00,2020-01-31 00:00:00,174,"167:23:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,ENGINE,Pos 2,2020-02-28 21:43:38,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRF,Bombardier-CRJ-1000,"19028",NB,LG,,2020-02-28 21:43:38,2020-01-01 00:00:00,2020-01-31 00:00:00,174,"167:23:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,AIRFRAME,,2020-02-28 22:08:50,2020-01-01 00:00:00,2020-01-31 00:00:00,76,"103:08:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,APU,,2020-02-28 22:08:50,2020-01-01 00:00:00,2020-01-31 00:00:00,160,"165:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 1,2020-02-28 22:08:50,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,ENGINE,Pos 2,2020-02-28 22:08:50,2020-01-01 00:00:00,2020-01-31 00:00:00,119,"110:08:00"
PK-GRG,Bombardier-CRJ-1000,"19029",NB,LG,,2020-02-28 22:08:50,2020-01-01 00:00:00,2020-01-31 00:00:00,76,"103:08:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,LH-LG,,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,119,"110:08:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,AIRFRAME,,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,119,"110:08:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,APU,,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,126,"137:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,ENGINE,Pos 1,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,23,"037:53:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,ENGINE,Pos 2,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRI,Bombardier-CRJ-1000,"19031",NB,LG,,2020-02-28 22:45:40,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,AIRFRAME,,2020-02-28 23:09:19,2020-01-01 00:00:00,2020-01-31 00:00:00,23,"037:53:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,APU,,2020-02-28 23:09:19,2020-01-01 00:00:00,2020-01-31 00:00:00,84,"061:00:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,ENGINE,Pos 1,2020-02-28 23:09:19,2020-01-01 00:00:00,2020-01-31 00:00:00,76,"103:08:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,ENGINE,Pos 2,2020-02-28 23:09:19,2020-01-01 00:00:00,2020-01-31 00:00:00,23,"037:53:00"
PK-GRJ,Bombardier-CRJ-1000,"19032",NB,LG,,2020-02-28 23:09:19,2020-01-01 00:00:00,2020-01-31 00:00:00,23,"037:53:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,AIRFRAME,,2020-02-28 23:23:09,2020-01-01 00:00:00,2020-01-31 00:00:00,66,"071:59:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,APU,,2020-02-28 23:23:09,2020-01-01 00:00:00,2020-01-31 00:00:00,0,"000:00:00"
PK-GRK,Bombardier-CRJ-1000,"19033",NB,ENGINE,Pos 1,2020-02-28 23:23:09,2020-01-01 00:00:00,2020-01-31 00:00:00,76,"103:08:00"
